Front_X;Front_Y;Front_Z;Back_X;Back_Y;Back_Z;Timestamp;SpeedShip;Latitude;Longitude;Depth;DistToFloor;Heading;Pitch;Roll;M_UP;M_Down;M_Right;M_Left;VertForvUp;VertForvDown;VertBackUp;VertBackDown;GorizForw;GorizBack;Bat1_50_I;Bat2_50_I;Bat3_50_I;Bat4_50_I;Bat1_27_I;Bat2_27_I;Bat3_27_I;Bat4_27_I;SpeedShipEML;EmiErrorFlag
1896;10484;-34026;5062;18606;-33566;1573218676898810;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1930;10542;-34000;4998;18672;-33522;1573218676918819;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1960;10604;-33988;4980;18374;-33526;1573218676938812;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1992;10716;-33946;4886;18298;-33580;1573218676958816;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1976;10748;-33916;4922;18110;-33580;1573218676978870;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2048;10814;-34038;4878;18120;-33442;1573218676998987;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2084;10816;-34014;4798;18034;-33390;1573218677018834;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2104;10920;-33948;4822;17784;-33422;1573218677038820;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2152;10948;-33856;4758;17840;-33502;1573218677058824;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2152;10930;-33814;4682;17752;-33450;1573218677078844;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;10.2768;-41.2976;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2190;10976;-33774;4664;17614;-33326;1573218677098849;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;10.2768;-41.2976;31.5071;-15.8967;102.582;102.823;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2156;11016;-33758;4658;17572;-33330;1573218677118861;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
2192;11074;-33854;4624;17538;-33302;1573218677138801;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2212;11034;-33842;4548;17416;-33376;1573218677158860;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05188;-0.130539;0.0701453;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2256;11114;-33850;4500;17282;-33352;1573218677178812;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2264;11166;-33892;4498;17238;-33272;1573218677198814;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2212;11200;-33708;4446;17190;-33200;1573218677218798;0.294468;0.785874278;0.61769418;3.90404;4.39131;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2256;11262;-33704;4472;17094;-33192;1573218677238813;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2310;11316;-33694;4416;17000;-33232;1573218677258811;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2332;11378;-33684;4366;16956;-33204;1573218677278904;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2318;11410;-33704;4394;16886;-33134;1573218677298823;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2374;11428;-33698;4288;16868;-33090;1573218677318808;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2394;11458;-33640;4314;16734;-33084;1573218677338829;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2410;11598;-33618;4310;16688;-33202;1573218677358826;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.05215;-0.130057;0.0717456;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2408;11598;-33626;4280;16480;-33168;1573218677378834;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2418;11590;-33560;4266;16574;-33070;1573218677398802;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2442;11636;-33590;4202;16454;-33002;1573218677418827;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2458;11684;-33558;4196;16386;-32986;1573218677438807;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2452;11720;-33572;4198;16298;-33014;1573218677458836;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2482;11718;-33660;4136;16346;-32994;1573218677478910;0.2778;0.785874278;0.61769418;3.90404;4.23275;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2468;11778;-33684;4150;16126;-33052;1573218677498828;0.2778;0.785874278;0.61769418;3.90404;4.23262;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2466;11776;-33610;4104;16234;-33080;1573218677518871;0.2778;0.785874278;0.61769418;3.90404;4.23262;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2584;11886;-33574;4072;16082;-33010;1573218677538928;0.2778;0.785874278;0.61769418;3.90404;4.23262;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2558;11858;-33594;4028;16150;-32896;1573218677558815;0.2778;0.785874278;0.61769418;3.90404;4.23262;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2610;11906;-33544;4032;15966;-32870;1573218677578812;0.2778;0.785874278;0.61769418;3.90404;4.23262;6.0524;-0.129438;0.0733643;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2600;11906;-33502;4026;15994;-32898;1573218677598880;0.2778;0.785874278;0.61769418;4.02032;4.23262;6.05265;-0.128769;0.0748615;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2620;12006;-33574;4000;15804;-32972;1573218677618810;0.2778;0.785874278;0.61769418;4.02032;4.23262;6.05265;-0.128769;0.0748615;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2600;11956;-33536;3958;15956;-32952;1573218677638815;0.2778;0.785874278;0.61769418;4.02032;4.23262;6.05265;-0.128769;0.0748615;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2644;11994;-33532;4006;15826;-32862;1573218677659078;0.2778;0.785874278;0.61769418;4.02032;4.23262;6.05265;-0.128769;0.0748615;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;82.5738;76.0748;-0.00528055;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
2640;12014;-33494;3946;15704;-32838;1573218677678899;0.2778;0.785874278;0.61769418;4.02032;4.23262;6.05265;-0.128769;0.0748615;10.2768;-41.2976;31.5071;-15.8967;102.582;97.0586;60.072;76.0748;-0.0181386;-0.0143062;9.125;11.3906;14.75;0;1.68;2.13;2.08;0;0;0
